simulation_id,Expected_Rew,Expected_WU,PCronograma,PGestor,Variacao_Capacidade_Base_Pct,conjunto,progresso_final_pct,concluiu_ate_60,tempo_conclusao_tu,deficit_final_pp
8100,18.0666924,6.69859743,21.0883408,15.917552,-6.50778389,treino,100,1,48,0
8200,25.3854141,3.51322842,21.4856319,16.8028259,-3.25783587,treino,100,1,49,0
8300,15.4535561,15.9508533,2.77997088,2.49262595,-11.7944326,treino,90.6894226,0,,9.31057739
8400,20.725193,24.1791039,11.5918283,8.71941853,9.27883911,treino,100,1,57,0
8500,27.5052261,7.95647955,20.7582092,29.3207474,5.7118597,treino,100,1,45,0
8600,14.8812189,2.65040088,22.7632923,8.76014614,-12.7941122,validacao,100,1,49,0
8700,4.22074699,21.4650002,4.1646328,27.6905022,27.4912891,treino,100,1,44,0
8800,5.16851091,11.2556925,21.5006771,17.3904686,5.01266861,teste,100,1,44,0
8900,20.2394867,23.0913734,7.4986825,13.5296583,3.24907804,treino,100,1,58,0
9000,6.67051744,2.65265322,20.8124104,11.4733658,3.27291656,treino,100,1,44,0
9100,8.33632469,17.5331364,20.6109104,7.61212397,-5.86546993,validacao,100,1,50,0
9200,25.1019058,27.1246319,1.385777,9.49115181,11.9984751,validacao,96.0628433,0,,3.93715668
9300,4.62169504,5.34830427,15.434063,7.72427082,12.2885294,treino,100,1,44,0
9400,20.0715218,6.88863945,23.0704899,22.6762638,-8.79751492,validacao,100,1,47,0
9500,18.708725,18.7732716,14.8290834,22.7392254,-14.0179491,treino,100,1,58,0
9600,14.7077951,19.0441666,9.9033823,5.0530858,-7.78829956,treino,97.6214905,0,,2.37850952
9700,4.21632051,28.4412651,22.9864655,4.66060257,18.2530422,treino,100,1,45,0
9800,8.48862362,3.63509321,21.6116619,15.1995859,6.62871599,treino,100,1,44,0
9900,22.8092155,18.3863277,15.3518,25.6795807,-7.15549469,treino,100,1,55,0
