simulation_id,Expected_Rew,Expected_WU,PCronograma,PGestor,Variacao_Capacidade_Base_Pct,SimTime,PercAccomplished,WD,WRemaining
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,40,93.3518982,60669.7656,2054.26367
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,41,95.3660355,61456.5664,1510.84155
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,42,97.1426315,62246.4531,984.276001
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,43,99.4539795,63049.9609,188.378952
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,44,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,45,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,46,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,47,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,48,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,49,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,50,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,51,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,52,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,53,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,54,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,55,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,56,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,57,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,58,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,59,100,63238.3398,0
100,11.2290907,15.2400112,0.684327543,29.2956619,28.7123432,60,100,63238.3398,0
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,0,0,0,54912
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,1,6.08966303,3628.02881,51295.3828
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,2,12.1336021,7256.06055,47745.5117
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,3,17.9700375,10885.957,44386.543
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,4,23.7735004,14694.5889,41048.6758
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,5,33.5486755,20591.5566,35305.7734
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,6,36.6031609,22723.791,33330.9414
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,7,37.9207458,23946.0176,32296.2051
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,8,39.7924881,25604.5938,30729.3496
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,9,42.7059555,28097.6914,28241.1738
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,10,42.8571434,29507.2988,28112
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,11,42.8571434,29507.2988,28112
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,12,42.8571434,29507.2988,28112
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,13,44.5077667,30577.4629,27043.8438
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,14,46.1547737,31647.6289,25983.8281
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,15,49.847435,33482.2812,24187.1816
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,16,53.4805374,35317.1836,22454.5352
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,17,56.9917221,37161.9922,20812.6855
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,18,60.5302238,39154.0664,19109.3203
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,19,65.5128784,41991.2227,16424.6758
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,20,71.4285736,45225.4336,13560
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,21,71.4285736,45225.4336,13560
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,22,71.4285736,45225.4336,13560
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,23,72.5291367,45941.9609,12844.1982
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,24,73.6291351,46658.4844,12130.0752
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,25,74.7270126,47375.0117,11420.3457
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,26,75.8187714,48091.5352,10720.2041
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,27,76.8965912,48808.0703,10037.3311
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,28,77.9493942,49524.7617,9379.56738
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,29,78.9691162,50243.4883,8748.75195
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,30,79.9732971,50978.5938,8125.40576
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,31,81.0655746,51795.6914,7429.37256
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,32,82.5612183,52861.3047,6422.6875
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,33,84.729332,54354.7383,4936.04883
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,34,85.7142868,55463.3672,4260
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,35,85.7142868,55463.3672,4260
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,36,85.7142868,55463.3672,4260
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,37,85.7142868,55463.3672,4260
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,38,87.7771454,56078.7695,3646.38843
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,39,89.8289337,56694.1719,3042.44922
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,40,91.8266296,57309.625,2468.79956
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,41,93.7220688,57930.832,1934.44214
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,42,95.9712372,58691.3438,1267.89575
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,43,100,59961.957,0
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,44,100,59961.957,0
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,45,100,59961.957,0
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,46,100,59961.957,0
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,47,100,59961.957,0
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,48,100,59961.957,0
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,49,100,59961.957,0
200,4.80622578,5.43843174,28.82127,10.45648,9.91074467,50,100,59961.957,0
